,course_title,is_paid,price,num_reviews,level,subject,year,convertedtime,Bag_Of_Words,Words_Vector
306,Situational Trading: Proven Option Strategy for any Scenario,1.0,200,11,0,Business Finance,2015,90.0,situational trading proven option strategy scenario business finance,0.2886751345948129
307,Portfolio Management for CA / CS / CFA exams,1.0,20,5,0,Business Finance,2015,1.0,portfolio management ca cs cfa exams business finance,0.2886751345948129
308,Algorithmic Trading in MATLAB: WFAToolbox App GUI (Finance),1.0,20,41,0,Business Finance,2015,1.0,algorithmic trading matlab wfatoolbox app gui finance business finance,0.36927447293799825
309,Finding an Unlimited Amount of Investors,1.0,80,6,0,Business Finance,2016,42.0,finding unlimited amount investors business finance,0.3333333333333334
310,Bookkeeping Made Easy,1.0,70,21,1,Business Finance,2015,90.0,bookkeeping made easy business finance,0.36514837167011077
311,BITCOIN VISUALLY. Part I.,1.0,50,6,1,Business Finance,2014,240.0,bitcoin visually part business finance,0.36514837167011077
312,Learn and Master the Basics of Finance,1.0,20,17,1,Business Finance,2016,180.0,learn master basics finance business finance,0.4330127018922194
313,FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,1.0,75,2,0,Business Finance,2016,330.0,forex learnto trade improved advanced patterns business finance,0.2886751345948129
314,Mastering the Market : (Technical Analysis + Candlestick),1.0,90,7,0,Business Finance,2016,420.0,mastering market technical analysis candlestick business finance,0.3086066999241838
315,Mastering Countertrend Trading : High Profit Trading Pattern,1.0,40,5,0,Business Finance,2016,1.0,mastering countertrend trading high profit pattern business finance,0.2886751345948129
316,Exam 1 Review - Managerial Accounting (U of H),1.0,30,9,1,Business Finance,2016,120.0,exam 1 review managerial accounting u h business finance,0.3333333333333334
317,* An Integrated Approach to the Fundamentals of Accounting,1.0,200,14,0,Business Finance,2016,330.0,integrated approach fundamentals accounting business finance,0.3333333333333334
318,Get to grips with the CFA calculator,1.0,20,8,0,Business Finance,2013,90.0,get grips cfa calculator business finance,0.3333333333333334
319,Financial Model Fundamentals-Learn the Essential Skills,1.0,75,5,0,Business Finance,2015,150.0,financial model fundamentals learn essential skills business finance,0.2886751345948129
320,Forex: Economic News Trading,1.0,25,14,0,Business Finance,2016,41.0,forex economic news trading business finance,0.3333333333333334
321,Analyze Real Estate Investments | Financial Modeling,1.0,20,18,0,Business Finance,2015,120.0,analyze real estate investments financial modeling business finance,0.2886751345948129
322,Forex For Beginners - A Guide To Currency Trading,1.0,20,10,1,Business Finance,2015,30.0,forex beginners guide currency trading business finance,0.3086066999241838
323,Raise Your Credit Score to 800 Or More....,1.0,50,33,0,Business Finance,2015,120.0,raise credit score 800 .... business finance,0.3333333333333334
324,Financial Management Budgeting Techniques,1.0,20,3,0,Business Finance,2015,120.0,financial management budgeting techniques business finance,0.3333333333333334
325,Forex Killing Divergence - How to trade with precision,1.0,20,38,0,Business Finance,2015,41.0,forex killing divergence trade precision business finance,0.3086066999241838
326,Working Capital Management for CA / CFA / CPA Exams,1.0,25,9,2,Business Finance,2014,210.0,working capital management ca cfa cpa exams business finance,0.2721655269759087
327,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,1.0,20,4,0,Business Finance,2015,330.0,risk analysis capital budgeting ca cs cfa exams business finance,0.25819888974716115
328,Corporate Finance 101: Financial Statement Analysis & Ratios,1.0,50,16,0,Business Finance,2016,480.0,corporate finance 101 financial statement analysis ratios business finance,0.36927447293799825
329,Mastering Futures Options for Beginners - Your Top 5 Plays!,1.0,200,10,1,Business Finance,2016,150.0,mastering futures options beginners top 5 plays business finance,0.2886751345948129
330,"Professional Options Trading, Simplified",1.0,200,49,0,Business Finance,2015,120.0,professional options trading simplified business finance,0.3333333333333334
331,"Advanced Options Concepts - Probability, Greeks, Simulation",1.0,60,81,2,Business Finance,2013,120.0,advanced options concepts probability greeks simulation business finance,0.2886751345948129
332,Accounting Basics - A Complete Study,1.0,180,70,0,Business Finance,2015,1740.0,accounting basics complete study business finance,0.3333333333333334
333,Case Studies in Macro Economics,1.0,50,1,1,Business Finance,2017,240.0,case studies macro economics business finance,0.3333333333333334
334,My Forex Strategy that win consistently over and over,1.0,200,23,2,Business Finance,2016,90.0,forex strategy win consistently business finance,0.3333333333333334
335,Understand Banks & Financial Markets ,1.0,30,24,0,Business Finance,2013,180.0,understand banks financial markets business finance,0.3333333333333334
336,Stock Technical Analysis with Python,1.0,50,35,0,Business Finance,2016,480.0,stock technical analysis python business finance,0.3333333333333334
337,How to Become an Accountant from scratch!,1.0,40,7,1,Business Finance,2015,180.0,become accountant scratch business finance,0.36514837167011077
338,How to invest in Gold,1.0,50,14,1,Business Finance,2016,150.0,invest gold business finance,0.4082482904638631
339,Automate Your Finances,1.0,20,17,1,Business Finance,2014,1.0,automate finances business finance,0.4082482904638631
340,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),1.0,150,4,0,Business Finance,2015,1560.0,mba accounting finance managers paper ms04 ignou business finance,0.36927447293799825
341,Accounting Made Easy: A Quick Guide to Financial Accounting,1.0,95,41,0,Business Finance,2015,90.0,accounting made easy quick guide financial business finance,0.2886751345948129
342,Futures/Commodity Training (Basics),0.0,0,202,1,Business Finance,2015,90.0,futures commodity training basics business finance,0.3333333333333334
343,Cost Accounting Marginal Costing Theory and Practice,1.0,20,4,0,Business Finance,2015,150.0,cost accounting marginal costing theory practice business finance,0.2886751345948129
344,The Big Volatility Short: The Best Trade On Wall Street!,1.0,200,35,0,Business Finance,2016,90.0,big volatility short best trade wall street business finance,0.2721655269759087
345,Master Finance in Three Hours,1.0,20,12,1,Business Finance,2014,180.0,master finance three hours business finance,0.4330127018922194
346,Learn Options on Futures for Hedging Options and Stocks,1.0,60,2,3,Business Finance,2017,42.0,learn options futures hedging stocks business finance,0.3086066999241838
347,Option selling trading as income source. Beginners friendly,1.0,195,46,0,Business Finance,2015,360.0,option selling trading income source beginners friendly business finance,0.2721655269759087
348,Introduction to Value Growth Investing,0.0,0,83,0,Business Finance,2016,1.0,introduction value growth investing business finance,0.3333333333333334
349,Become A Forex Trader - Forex trading like a professional,0.0,0,31,0,Business Finance,2017,150.0,become forex trader trading like professional business finance,0.2886751345948129
350,Hedge Fund Trading System,0.0,0,584,0,Business Finance,2015,1.0,hedge fund trading system business finance,0.3333333333333334
351,Bulletproof Personal Finance: Expert Asset Allocation,1.0,45,22,0,Business Finance,2016,1.0,bulletproof personal finance expert asset allocation business finance,0.3872983346207417
352,Financial Accounting: The Complete Introductory Crash Course,1.0,100,44,0,Business Finance,2015,600.0,financial accounting complete introductory crash course business finance,0.4330127018922194
353,Learn About Trading Options from a real wallstreet trader,1.0,20,17,0,Business Finance,2016,1.0,learn trading options real wallstreet trader business finance,0.2886751345948129
354,Forex Rate -Why it fluctuates -for CA / CMA / CS / CFA Exams,1.0,20,4,0,Business Finance,2015,1.0,forex rate fluctuates ca cma cs cfa exams business finance,0.25819888974716115
355,How to Build a Massive Stock Portfolio from Zero!,1.0,200,51,0,Business Finance,2015,660.0,build massive stock portfolio zero business finance,0.3086066999241838
356,Introductory Forex Trading Course,0.0,0,158,1,Business Finance,2016,210.0,introductory forex trading course business finance,0.5000000000000001
357,Budgeting Hacks to Build Wealth!,0.0,0,154,1,Business Finance,2016,32.0,budgeting hacks build wealth business finance,0.3333333333333334
358,Accounting and Finance for Bankers - A Comprehensive Study,1.0,180,9,0,Business Finance,2015,1470.0,accounting finance bankers comprehensive study business finance,0.408248290463863
359,Forex Prep Academy for Beginners-Real trades!,1.0,75,21,1,Business Finance,2015,180.0,forex prep academy beginners real trades business finance,0.2886751345948129
360,Accounting for Deferred Taxes (Professional Course Level),1.0,25,6,0,Business Finance,2015,90.0,accounting deferred taxes professional course level business finance,0.4330127018922194
361,TRADING TRUTHS,1.0,50,14,0,Business Finance,2015,120.0,trading truths business finance,0.4082482904638631
362,The Binary Institute - Introductory Course in Binary Options,0.0,0,12,0,Business Finance,2017,1.0,binary institute introductory course options business finance,0.4629100498862757
363,Forex Trading vs Option Trading,1.0,95,14,0,Business Finance,2015,150.0,forex trading vs option business finance,0.3333333333333334
364,How to Invest in Stocks + Billionaire Investing Tips,1.0,40,18,0,Business Finance,2015,120.0,invest stocks billionaire investing tips business finance,0.3086066999241838
365,Value Investing For Beginners,1.0,100,48,1,Business Finance,2016,150.0,value investing beginners business finance,0.36514837167011077
366,TRADING TACTICS,1.0,145,25,0,Business Finance,2015,360.0,trading tactics business finance,0.4082482904638631
367,MQL4 Tutorial Bootcamp - Trading Robot Coding in Metatrader4,1.0,30,33,1,Business Finance,2015,43.0,mql4 tutorial bootcamp trading robot coding metatrader4 business finance,0.2721655269759087
368,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,1.0,50,15,0,Business Finance,2015,360.0,ultimate retirement build dynamic plan business finance,0.4629100498862757
369,build a solid foundation for trading options,1.0,20,8,0,Business Finance,2016,1.0,build solid foundation trading options business finance,0.3086066999241838
370,Forex Scam: Avoid the scam today,1.0,20,27,0,Business Finance,2016,120.0,forex scam avoid today business finance,0.3333333333333334
371,Cost Accounting Crash Course,1.0,20,11,0,Business Finance,2015,150.0,cost accounting crash course business finance,0.5000000000000001
372,Option Trading for Rookies: Basic Option Strategies,1.0,95,27,0,Business Finance,2016,150.0,option trading rookies basic strategies business finance,0.3086066999241838
373,Business Analysis:  Working with Use Cases,1.0,90,224,0,Business Finance,2013,90.0,business analysis working use cases business finance,0.408248290463863
374,Learn to Raise the Funds You Need via Crowdfunding,1.0,20,29,0,Business Finance,2014,480.0,learn raise funds need via crowdfunding business finance,0.2886751345948129
375,Business finances,1.0,75,7,1,Business Finance,2014,1.0,business finances business finance,0.5000000000000001
376,Financial Accounting - A Brief Introduction,0.0,0,1440,1,Business Finance,2016,1.0,financial accounting brief introduction business finance,0.3333333333333334
377,Trading Economic Indicators - Complete Trading System,1.0,50,25,1,Business Finance,2015,90.0,trading economic indicators complete system business finance,0.3086066999241838
378,Foundation of Options Trading and Investing,1.0,20,21,0,Business Finance,2013,1.0,foundation options trading investing business finance,0.3333333333333334
379,Option Trading - How To Earn If You Can't Predict The Market,1.0,145,19,0,Business Finance,2015,90.0,option trading earn predict market business finance,0.3086066999241838
380,The Financial Analyst Skills Training (FAST) course 2017,1.0,100,31,0,Business Finance,2017,600.0,financial analyst skills training fast course 2017 business finance,0.408248290463863
381,Covered Calls - Powerful Income Strategy for Stock Traders,1.0,60,0,1,Business Finance,2017,1.0,covered calls powerful income strategy stock traders business finance,0.2721655269759087
382,Accounting 1 Simplified for You,1.0,45,95,1,Business Finance,2014,180.0,accounting 1 simplified business finance,0.4082482904638631
383,[Value Investing] Where White People Keep Their Money,1.0,200,70,3,Business Finance,2016,240.0,value investing white people keep money business finance,0.2886751345948129
384,How to Start Investing: Made Simple and Easy,1.0,200,12,0,Business Finance,2016,1.0,start investing made simple easy business finance,0.3086066999241838
385,Basics of Commerce A Complete Study,1.0,150,4,0,Business Finance,2016,330.0,basics commerce complete study business finance,0.3333333333333334
386,The Passive Investing Blueprint - Build Wealth Passively,1.0,200,32,0,Business Finance,2017,210.0,passive investing blueprint build wealth passively business finance,0.2886751345948129
387,7 Steps: Your Introduction to Trading,1.0,25,22,1,Business Finance,2016,300.0,7 steps introduction trading business finance,0.36514837167011077
388,Forex - Elliott Wave Theory with Fibonacci. ,1.0,20,54,0,Business Finance,2015,90.0,forex elliott wave theory fibonacci business finance,0.3086066999241838
389,The Actuarial Profession: Basic Sciences and Principles,1.0,25,6,1,Business Finance,2016,35.0,actuarial profession basic sciences principles business finance,0.3086066999241838
390,Investing in stocks: Avoid stock market loss,1.0,125,12,1,Business Finance,2016,1.0,investing stocks avoid stock market loss business finance,0.2886751345948129
391,QuickBooks Online: Complete Guide & Certification tips,1.0,50,218,0,Business Finance,2015,780.0,quickbooks online complete guide certification tips business finance,0.2886751345948129
392,Build Financial Models & Value Companies The Easy Way,1.0,20,137,0,Business Finance,2015,1.0,build financial models value companies easy way business finance,0.2721655269759087
393,Adventure Capital: How to pay off debt ,1.0,20,56,1,Business Finance,2015,1.0,adventure capital pay debt business finance,0.3333333333333334
394,Chart Patterns Trading Demystified,1.0,200,8,0,Business Finance,2017,150.0,chart patterns trading demystified business finance,0.3333333333333334
395,Financial Planning & Analysis: Building a Company's Budget,1.0,150,137,0,Business Finance,2016,90.0,financial planning analysis building company budget business finance,0.2886751345948129
396,Simple things you must know before start FOREX (OFFER),1.0,200,20,1,Business Finance,2017,44.0,simple things must know start forex offer business finance,0.2721655269759087
397,Practical Finance,1.0,20,281,0,Business Finance,2015,1.0,practical finance business finance,0.5000000000000001
398,Forex Trading: Comprehensive & Concise Forex Trading Course,1.0,160,33,0,Business Finance,2016,210.0,forex trading comprehensive concise course business finance,0.4629100498862757
399,Leaps Options Trading System - Diagonal Leaps Options Spread,1.0,200,19,0,Business Finance,2017,1.0,leaps options trading system diagonal spread business finance,0.2886751345948129
400,Finance - Ratios Analysis & Interpretations,1.0,30,52,1,Business Finance,2013,150.0,finance ratios analysis interpretations business finance,0.4330127018922194
401,Forex Trading -  Learn to Trade From Scratch!,1.0,20,103,1,Business Finance,2016,90.0,forex trading learn trade scratch business finance,0.3086066999241838
402,Technical Analysis tools for Stocks and Options trading,1.0,40,89,0,Business Finance,2015,90.0,technical analysis tools stocks options trading business finance,0.2886751345948129
403,Quantitative Trading Analysis with R,1.0,50,40,0,Business Finance,2016,450.0,quantitative trading analysis r business finance,0.36514837167011077
404,Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours),1.0,200,17,0,Business Finance,2017,360.0,penny stocks king 2 really trade 6 hours business finance,0.2886751345948129
405,Get Started With Penny Stocks -Step by Step Guide to Trading,1.0,200,61,0,Business Finance,2014,120.0,get started penny stocks step guide trading business finance,0.2721655269759087
406,CPA 101: How To Master Affiliate Marketing In No Time,1.0,100,92,0,Business Finance,2013,90.0,cpa 101 master affiliate marketing time business finance,0.2886751345948129
407,Corporate Internal Controls and Fraud Controls,1.0,50,0,2,Business Finance,2017,120.0,corporate internal controls fraud business finance,0.3333333333333334
408,"Forex trading tactics, that work!",1.0,20,1,1,Business Finance,2016,36.0,forex trading tactics work business finance,0.3333333333333334
409,Professional Risk Manager (PRM) Certification: Level 2,1.0,50,1,0,Business Finance,2013,450.0,professional risk manager prm certification level 2 business finance,0.2886751345948129
410,Trading Options Basics,1.0,200,0,1,Business Finance,2016,90.0,trading options basics business finance,0.36514837167011077
411,Practical Trading on Financial Futures & Options Markets,1.0,50,0,1,Business Finance,2012,240.0,practical trading financial futures options markets business finance,0.2886751345948129
412,Bookkeeping made simple,1.0,30,1,1,Business Finance,2015,1.0,bookkeeping made simple business finance,0.36514837167011077
413,The Visual Learning Basic Accounting Course,1.0,20,0,1,Business Finance,2016,1.0,visual learning basic accounting course business finance,0.4629100498862757
414,ChalkTalk: Financial Accounting,1.0,20,1,0,Business Finance,2014,210.0,chalktalk financial accounting business finance,0.36514837167011077
415,The 7 fundamentals to Successful Cashflow Management,1.0,25,0,0,Business Finance,2016,1.0,7 fundamentals successful cashflow management business finance,0.3333333333333334
416,How to trade options,1.0,45,1,2,Business Finance,2015,43.0,trade options business finance,0.4082482904638631
417,Coaching Course:Investment Analysis for your clients,1.0,200,0,2,Business Finance,2017,34.0,coaching course investment analysis clients business finance,0.6172133998483676
418,Harnessing the Power of Growth Stocks,1.0,50,2,2,Business Finance,2012,120.0,harnessing power growth stocks business finance,0.3333333333333334
419,The Investment Banking Recruitment Series,1.0,40,6,0,Business Finance,2016,210.0,investment banking recruitment series business finance,0.6666666666666669
420,Business Banking 101,1.0,25,3,0,Business Finance,2015,90.0,business banking 101 business finance,0.6172133998483676
421,CFA Level I Workshop 2: Financial Reporting & Analysis I ,1.0,20,2,0,Business Finance,2013,1.0,cfa level workshop 2 financial reporting analysis business finance,0.2886751345948129
422,Breakout Patterns Workshop by Pattern Trader,1.0,60,6,0,Business Finance,2016,90.0,breakout patterns workshop pattern trader business finance,0.3086066999241838
423,Asset Protection Using Offshore Companies,1.0,20,3,0,Business Finance,2015,1.0,asset protection using offshore companies business finance,0.3086066999241838
424,Get Credit for Your EIN That's Not Linked to Your SSN,1.0,20,4,1,Business Finance,2016,90.0,get credit ein linked ssn business finance,0.3086066999241838
425,Financial Translation,1.0,20,6,1,Business Finance,2014,90.0,financial translation business finance,0.4082482904638631
426,How to Pick Stocks,1.0,20,3,0,Business Finance,2014,90.0,pick stocks business finance,0.4082482904638631
427,Binary Beginners Mastery Strategy.,0.0,0,8,1,Business Finance,2017,1.0,binary beginners mastery strategy business finance,0.3333333333333334
428,Accounting 101-Master Class for Understanding Business,1.0,20,2,0,Business Finance,2015,150.0,accounting 101 master class understanding business business finance,0.3872983346207417
429,High-Frequency Trading & Dark Pools,1.0,40,11,1,Business Finance,2017,120.0,high frequency trading dark pools business finance,0.3086066999241838
430,How To Crowdfund,1.0,30,6,0,Business Finance,2012,90.0,crowdfund business finance,0.4714045207910318
431,Financial Statement Fundamentals for Small Biz & Investors,1.0,30,1,1,Business Finance,2015,180.0,financial statement fundamentals small biz investors business finance,0.2886751345948129
432,Master The Stock Market with practice,1.0,35,10,0,Business Finance,2015,120.0,master stock market practice business finance,0.3333333333333334
433,Introduction to Trade Theory (Technical Analysis) For Stocks,1.0,20,4,1,Business Finance,2014,1.0,introduction trade theory technical analysis stocks business finance,0.2886751345948129
434,Forex Trading For Beginners: Technical Trading,0.0,0,29,1,Business Finance,2016,120.0,forex trading beginners technical business finance,0.3333333333333334
435,IAS 12 - Accounting for Income Taxes (Basics),0.0,0,60,0,Business Finance,2014,270.0,ias 12 accounting income taxes basics business finance,0.2886751345948129
436,Surpassing Your Kickstarter Goals,1.0,30,7,0,Business Finance,2013,1.0,surpassing kickstarter goals business finance,0.36514837167011077
437,Simple Linear Regression Analysis ( A Complete Course ),1.0,200,5,0,Business Finance,2015,90.0,simple linear regression analysis complete course business finance,0.4330127018922194
438,Forex: Learn to Trade Forex and FX Consistently,1.0,50,4,0,Business Finance,2015,330.0,forex learn trade fx consistently business finance,0.3086066999241838
439,Trading: High-ROI Trading,1.0,190,20,2,Business Finance,2014,750.0,trading high roi business finance,0.36514837167011077
440,Fundraising 101,1.0,95,4,1,Business Finance,2015,1.0,fundraising 101 business finance,0.4082482904638631
441,Professional Bookkeeping & Accounting 2 - Bank Daybook,1.0,35,6,0,Business Finance,2015,120.0,professional bookkeeping accounting 2 bank daybook business finance,0.3086066999241838
442,Filing with Companies House UK,1.0,30,5,0,Business Finance,2015,1.0,filing companies house uk business finance,0.3333333333333334
443,"Build, Grow, and Protect Your Assets: A Step-by-Step Guide",1.0,195,26,0,Business Finance,2015,210.0,build grow protect assets step guide business finance,0.2886751345948129
444,The Advantages of ETF Options and Index Options Trading,1.0,60,3,2,Business Finance,2017,1.0,advantages etf options index trading business finance,0.3086066999241838
445,Learn to Trade Forex - from Beginner to Professional,1.0,195,7,0,Business Finance,2017,750.0,learn trade forex beginner professional business finance,0.3086066999241838
446,"Investing In Stocks For Big Gains, Fundamental Investing",1.0,200,11,0,Business Finance,2016,120.0,investing stocks big gains fundamental business finance,0.3086066999241838
447,Introduction to Equity Markets,0.0,0,64,1,Business Finance,2015,390.0,introduction equity markets business finance,0.36514837167011077
448,Beginners Guide To Ichimoku Trading,1.0,20,16,0,Business Finance,2016,1.0,beginners guide ichimoku trading business finance,0.3333333333333334
449,Financial Management - Ratio Analysis,1.0,20,9,1,Business Finance,2014,330.0,financial management ratio analysis business finance,0.3333333333333334
450,ALGOTECH Hedge Fund Method for Stock Market Trading,1.0,20,19,0,Business Finance,2016,19.0,algotech hedge fund method stock market trading business finance,0.2721655269759087
451,Futures/Commodity Trading,1.0,50,34,0,Business Finance,2015,330.0,futures commodity trading business finance,0.36514837167011077
452,Complete Claritas Investment Certificate,1.0,50,56,0,Business Finance,2013,690.0,complete claritas investment certificate business finance,0.5000000000000001
453,Introduction to the economics of public services regulation,1.0,80,35,2,Business Finance,2017,480.0,introduction economics public services regulation business finance,0.3086066999241838
454,Accounting Standard 3 - An Analysis,1.0,25,6,2,Business Finance,2014,1.0,accounting standard 3 analysis business finance,0.36514837167011077
455,Essentials of money value: Get a financial Life !,1.0,20,0,0,Business Finance,2016,37.0,essentials money value get financial life business finance,0.2886751345948129
456,Introduction to Forex Trading Business For Beginners,1.0,20,0,1,Business Finance,2017,90.0,introduction forex trading business beginners business finance,0.408248290463863
457,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,1.0,20,0,1,Business Finance,2017,150.0,cryptocurrency btc eth investment trading course 2017 business finance,0.5443310539518174
458,Introduction to Project Management for Finance and Acct'g,1.0,50,0,1,Business Finance,2017,120.0,introduction project management finance acct g business finance,0.408248290463863
459,Best Practices in Corporate Budgeting,1.0,50,0,2,Business Finance,2017,120.0,best practices corporate budgeting business finance,0.3333333333333334
460,Financial Statement Auditing Cycles,1.0,50,0,2,Business Finance,2017,120.0,financial statement auditing cycles business finance,0.3333333333333334
461,Case studies on credit appraisal for bankers,1.0,20,0,1,Business Finance,2017,210.0,case studies credit appraisal bankers business finance,0.3086066999241838
462,Building a Balanced Scorecard,1.0,50,0,2,Business Finance,2017,120.0,building balanced scorecard business finance,0.36514837167011077
463,Options Trading Foundation: Your journey to competency...,1.0,95,0,2,Business Finance,2017,1.0,options trading foundation journey competency ... business finance,0.3086066999241838
464,Forex how traders beat the markest with little experience,1.0,100,0,0,Business Finance,2017,1.0,forex traders beat markest little experience business finance,0.2886751345948129
465,CFA Level 2- Quantitative Methods,1.0,40,0,0,Business Finance,2017,330.0,cfa level 2 quantitative methods business finance,0.3333333333333334
466,Foundations of Investing,1.0,40,0,1,Business Finance,2016,120.0,foundations investing business finance,0.4082482904638631
467,Capital Market Road Map,1.0,50,47,0,Business Finance,2014,240.0,capital market road map business finance,0.3333333333333334
468,TRADING: 5K CHALLENGE,1.0,55,10,2,Business Finance,2015,1.0,trading 5k challenge business finance,0.36514837167011077
469,CurrencyFair - Avoid Bank Charges when converting currencies,0.0,0,34,0,Business Finance,2016,40.0,currencyfair avoid bank charges converting currencies business finance,0.2886751345948129
470,Bitcoin - A Comprehensive Guide,1.0,20,13,0,Business Finance,2015,150.0,bitcoin comprehensive guide business finance,0.36514837167011077
471,Forex Trading,1.0,95,14,0,Business Finance,2014,270.0,forex trading business finance,0.4082482904638631
472,"The True ' Secret Sauce  For Stock Market Success""",1.0,200,2,0,Business Finance,2017,180.0,true secret sauce stock market success business finance,0.2886751345948129
473,Bookkeeping to Command Senior Bookkeeping Wages,1.0,55,16,0,Business Finance,2015,270.0,bookkeeping command senior wages business finance,0.3333333333333334
474,Take Your Career to the Next Level with MBA Finance,1.0,50,10,0,Business Finance,2015,120.0,take career next level mba finance business finance,0.3872983346207417
475,How to Read Financial Statements:  Build Financial Literacy.,1.0,25,10,1,Business Finance,2014,90.0,read financial statements build literacy business finance,0.3086066999241838
476,Accounting Books of Accounts (College Level),1.0,20,2,0,Business Finance,2015,90.0,accounting books accounts college level business finance,0.3086066999241838
477,Forex Trading Profitably,1.0,20,13,0,Business Finance,2014,40.0,forex trading profitably business finance,0.36514837167011077
478,Learn How to Trade Pump and Dumps. 5 Setups Well Explained.,1.0,50,10,0,Business Finance,2016,120.0,learn trade pump dumps 5 setups well explained business finance,0.2721655269759087
479,Bitcoin Trading 101,1.0,95,6,0,Business Finance,2015,120.0,bitcoin trading 101 business finance,0.36514837167011077
480,Visualizing Data,1.0,40,2,2,Business Finance,2016,390.0,visualizing data business finance,0.4082482904638631
481,IFRS Financial Reporting,1.0,55,9,0,Business Finance,2014,210.0,ifrs financial reporting business finance,0.36514837167011077
482,Forex Trading System: Correlation EUR/GBP vs GBP/USD,1.0,50,4,2,Business Finance,2016,1.0,forex trading system correlation eur gbp vs usd business finance,0.25819888974716115
483,"SAP Crystal Reports:Master-Detail,Cross-Tab,Sub-Reports",1.0,50,1,0,Business Finance,2016,120.0,sap crystal reports master detail cross tab sub business finance,0.25819888974716115
484,Learn Financial Accounting Different,1.0,20,1,0,Business Finance,2015,360.0,learn financial accounting different business finance,0.3333333333333334
485,CFA Level I Workshop 4: Fixed Income and Equity,1.0,20,3,0,Business Finance,2013,90.0,cfa level workshop 4 fixed income equity business finance,0.2886751345948129
486,"IAS37 - Provisions, Contingents Liabilities & Assets",0.0,0,53,0,Business Finance,2014,240.0,ias37 provisions contingents liabilities assets business finance,0.3086066999241838
487,What You Should Know to Become a Trader,1.0,125,2,0,Business Finance,2016,90.0,know become trader business finance,0.36514837167011077
488,Financial Reporting A Comprehensive Study,1.0,50,1,0,Business Finance,2017,480.0,financial reporting comprehensive study business finance,0.3333333333333334
489,An Abundance Mindset: How to Craft Yours,1.0,50,4,1,Business Finance,2016,270.0,abundance mindset craft business finance,0.36514837167011077
490,Forex Trading Profit 183%p.a : Trend is Our Friend-ALGOTREND,1.0,120,11,0,Business Finance,2016,36.0,forex trading profit 183 p trend friend algotrend business finance,0.2721655269759087
491,How to Build a Massive Retirement Plan from Scratch!,1.0,200,30,1,Business Finance,2015,120.0,build massive retirement plan scratch business finance,0.3086066999241838
492,Financial modeling: Build a forward looking financial model,1.0,20,44,0,Business Finance,2015,120.0,financial modeling build forward looking model business finance,0.2886751345948129
493,Trading for Beginners - Entry Level,0.0,0,256,1,Business Finance,2016,90.0,trading beginners entry level business finance,0.3333333333333334
494,Bitcoin or How I Learned to Stop Worrying and Love Crypto,0.0,0,936,0,Business Finance,2013,480.0,bitcoin learned stop worrying love crypto business finance,0.2886751345948129
495,Trend Following Stocks: A Complete Trading System,1.0,95,76,3,Business Finance,2015,210.0,trend following stocks complete trading system business finance,0.2886751345948129
496,Forex Basics,0.0,0,712,1,Business Finance,2013,210.0,forex basics business finance,0.4082482904638631
497,Accounting Bank Reconciliation Statement (College Level),1.0,20,4,0,Business Finance,2015,90.0,accounting bank reconciliation statement college level business finance,0.2886751345948129
498,Bitcoin - Ethereum: Trading -Watch me manage my own account!,1.0,165,58,0,Business Finance,2016,150.0,bitcoin ethereum trading watch manage account business finance,0.2886751345948129
499,FOREX : Learn Technical Analysis,1.0,200,37,0,Business Finance,2016,1080.0,forex learn technical analysis business finance,0.3333333333333334
500,FastTrack to Stock Trading Strategies,1.0,25,5,0,Business Finance,2014,210.0,fasttrack stock trading strategies business finance,0.3333333333333334
501,Algorithmic futures trading - Investing with no experience,1.0,195,23,0,Business Finance,2015,90.0,algorithmic futures trading investing experience business finance,0.3086066999241838
502,Succeed in Forex Even if You Don't Know Where to Start!,1.0,200,38,1,Business Finance,2015,1170.0,succeed forex even know start business finance,0.3086066999241838
503,Hedge Fund Accounting and Valuation,1.0,20,10,0,Business Finance,2016,34.0,hedge fund accounting valuation business finance,0.3333333333333334
504,"Binary, Forex, Stock and Bitcoin Trading Strategy",0.0,0,70,0,Business Finance,2015,37.0,binary forex stock bitcoin trading strategy business finance,0.2886751345948129
505,2 Easy Steps To Investment And Avoiding Traps,1.0,20,1,0,Business Finance,2015,1.0,2 easy steps investment avoiding traps business finance,0.4629100498862757
506,Ethereum Course for Investors,1.0,40,20,0,Business Finance,2016,1.0,ethereum course investors business finance,0.5477225575051662
507,Using Xero for your bookkeeping needs  do beautiful business,1.0,95,6,1,Business Finance,2017,1.0,using xero bookkeeping needs beautiful business business finance,0.3872983346207417
508,Capital Market Immersion,1.0,195,33,0,Business Finance,2014,1470.0,capital market immersion business finance,0.36514837167011077
509,Forex Trading :RSI Indicator-A Secret Weapon,1.0,95,13,0,Business Finance,2016,90.0,forex trading rsi indicator secret weapon business finance,0.2886751345948129
510,"Trading Mindset, and Three Steps To Profitable Trading",1.0,20,8,1,Business Finance,2015,90.0,trading mindset three steps profitable business finance,0.3086066999241838
